angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, distance_between_contrails, state_indicator, c1_esp, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
0.0, 900.0, 25307.40480332372, 356.52683015278456, 0.061339204406533815, 20.0, 0.014110167174222575, 1208.7654771129678, 26.97204634113151, 15647.144726346778, 6.257589952875343E-6, 8.8184340686588416E16, 0.8185977705374817, 0.20251081267413404, 0.1189213776701755, 0.71969034017114, 0.04384585217792462, 1.8877521993127888, 4659.975150793832, 2.0, 1.0, 175014.06157503824, 175014.06157503824, 7.340089742457104E9, 7.340089742457104E9, 1.1347880749766958E-5, 174.30139884259538, 0.0018466916969611196, 0.0055081947667919235, 0.0012412897610412043, 35.88961668617642, -4.6155058389883195, 0.01692823380889591, -52.0203, 163.4658, 10842
0.0, 900.0, 25367.40480332372, 357.2553582929877, 0.061339204406533815, 20.0, 0.014110167174222575, 1216.4878610401179, 27.00341652252641, 15947.899149491093, 6.2650167814600456E-6, 8.8184340686588416E16, 0.8187397496683783, 0.20260977708170733, 0.11911891552063661, 0.7196464617890551, 0.049979534996379, 1.88619554121424, 4677.13924503851, 2.0, 1.0, 175575.7952325291, 175575.7952325291, 7.363648852052271E9, 7.363648852052271E9, 1.1352007051908446E-5, 174.2781253518623, 0.0018532947881020555, 0.005521427164842894, 0.0012606081594876964, 35.88940494807822, -4.620859520520846, 0.017663413011687758, -52.0228, 163.4973, 10842
0.0, 900.0, 25427.40480332372, 358.0267983955093, 0.061339204406533815, 20.0, 0.014110167174222575, 1224.3113289225516, 27.034750303081392, 16250.551149002897, 6.2724725359379845E-6, 8.8184340686588416E16, 0.8188819983773334, 0.20270906941251687, 0.11931718842399791, 0.7197935782607503, -0.03954794045853777, 1.9804261019678786, 4694.686408753144, 2.0, 1.0, 176141.66822456833, 176141.66822456833, 7.387381565338396E9, 7.387381565338396E9, 1.1356093754285264E-5, 174.25273694537378, 0.001859936986260028, 0.005534735684224409, 0.0012800209483977872, 35.88928818736988, -4.6264103045012765, 0.018391911700962948, -52.0253, 163.5288, 10843
0.0, 900.0, 25487.40480332372, 358.8407451109475, 0.061339204406533815, 20.0, 0.014110167174222575, 1232.235542430622, 27.066047809217842, 16555.103767128177, 6.279957353278025E-6, 8.8184340686588416E16, 0.8190245168351089, 0.20280869094406276, 0.11951619960513801, 0.7197459733867073, -0.034639803830378, 1.9803378504402713, 4712.618642262456, 2.0, 1.0, 176711.76339007018, 176711.76339007018, 7.411291356579543E9, 7.411291356579543E9, 1.1360137585582978E-5, 174.22522955456972, 0.0018666187047102745, 0.005548120819690113, 0.001299530180339156, 35.88926849953558, -4.632157584963118, 0.019113731136979863, -52.0278, 163.5602, 10844
0.0, 900.0, 25547.40480332372, 359.6967930782254, 0.061339204406533815, 20.0, 0.014110167174222575, 1240.2601530968657, 27.097309166627095, 16861.560009212055, 6.287471366808871E-6, 8.8184340686588416E16, 0.8191673051263421, 0.2029086429010558, 0.11971595218784226, 0.7195535914473028, 0.03917784594074693, 1.9114472251055468, 4730.937892812688, 2.0, 1.0, 177286.16465422415, 177286.16465422415, 7.435381745598161E9, 7.435381745598161E9, 1.1364135235580314E-5, 174.1955989740985, 0.0018733403570000448, 0.005561583062236382, 0.0013191378410452109, 35.889347938273175, -4.638100730170467, 0.01982887161569219, -52.0303, 163.5917, 10845
0.0, 900.0, 25607.40480332372, 360.5945368672305, 0.061339204406533815, 20.0, 0.014110167174222575, 1248.384802829855, 27.128534500276263, 17169.922842754637, 6.29501470548734E-6, 8.8184340686588416E16, 0.8193103632364133, 0.20300892644582963, 0.11991644917541644, 0.7194945744943194, 0.048353271816812114, 1.907295916367756, 4749.6460541758215, 2.0, 1.0, 177864.95700321632, 177864.95700321632, 7.459656296714892E9, 7.459656296714892E9, 1.1368083082218934E-5, 174.16381509186655, 0.0018801020014573852, 0.005575122568126676, 0.0013388458496501703, 35.889528515617194, -4.644239082678333, 0.02053733247197177, -52.0328, 163.6232, 10846
0.0, 900.0, 25667.40480332372, 361.5335709468681, 0.061339204406533815, 20.0, 0.014110167174222575, 1256.6091244149507, 27.1597239344141, 17480.19519641237, 6.302587442914874E-6, 8.8184340686588416E16, 0.8194536900883376, 0.2031095420013087, 0.12011769209601347, 0.7194926731375891, 0.03200669435668857, 1.9287532517014154, 4768.744966300402, 2.0, 1.0, 178448.2264582533, 178448.2264582533, 7.484118617659143E9, 7.484118617659143E9, 1.1371977530089508E-5, 174.12984767754207, 0.0018869036450581982, 0.005588739394814272, 0.0013586560589580604, 35.88981220208598, -4.650571959462237, 0.021239112082273796, -52.0353, 163.6547, 10847
0.0, 900.0, 25727.40480332372, 362.51348962716025, 0.061339204406533815, 20.0, 0.014110167174222575, 1264.9327420036366, 27.190877592576758, 17792.37995903108, 6.310189659172725E-6, 8.8184340686588416E16, 0.8195972847201677, 0.20321049007401468, 0.12031968264672491, 0.719446232943314, 0.03376726044041119, 1.9321792845593062, 4788.236415007961, 2.0, 1.0, 179036.06004822746, 179036.06004822746, 7.50877235842266E9, 7.50877235842266E9, 1.1375815822550923E-5, 174.09374365590028, 0.0018937463708754, 0.005602434604027604, 0.0013785702556559092, 35.89020092678434, -4.657098651966581, 0.02193420786841093, -52.0378, 163.6862, 10848
0.0, 900.0, 25787.40480332372, 363.53388692588396, 0.061339204406533815, 20.0, 0.014110167174222575, 1273.3552715894914, 27.221995597593494, 18106.479978647174, 6.317821590641471E-6, 8.8184340686588416E16, 0.819741149105096, 0.20331177324148378, 0.12052242667304966, 0.7194881437206476, -0.0045902623226696795, 1.9757882228969148, 4808.122131747622, 2.0, 1.0, 179628.54578022077, 179628.54578022077, 7.533621210022459E9, 7.533621210022459E9, 1.1379593944147595E-5, 174.05544675992041, 0.0019006299816281564, 0.005616208215658588, 0.0013985901603749216, 35.89069657738721, -4.663818425924967, 0.022622616302600415, -52.0403, 163.7177, 10849
0.0, 900.0, 25847.40480332372, 364.59435661563475, 0.061339204406533815, 20.0, 0.014110167174222575, 1281.876321471567, 27.25307807159232, 18422.49806150085, 6.325483241458682E-6, 8.8184340686588416E16, 0.8198852808197528, 0.20341339099437816, 0.12072592384621278, 0.7194269170294452, 0.01035537274371514, 1.9661473245646175, 4828.40379335304, 2.0, 1.0, 180225.77261134933, 180225.77261134933, 7.558668903319991E9, 7.558668903319991E9, 1.138330851178395E-5, 174.01495211914167, 0.001907554784217658, 0.005630060499090926, 0.001418717428069514, 35.89130100036431, -4.670730521707006, 0.023304332906536183, -52.0428, 163.7492, 10850
